incorrect_name,correct_name
The Arcade Fire,Arcade Fire
Flaming Lips,The Flaming Lips
At The Drive In,At the Drive-In
Echo And the Bunnymen,Echo & the Bunnymen
The Young Knives,Young Knives
Jay Z,Jay-Z
Viet Cong,Preoccupations
Vietcong,Preoccupations
The Beat,The English Beat
Smashing Pumpkins,The Smashing Pumpkins
T.V. on the Radio,TV on the Radio
Chemical Brothers,The Chemical Brothers
Florence and the machine,Florence + the Machine
Florence & the machine,Florence + the Machine
