Artist,PlayCount,
Beavis & Butthead,1
Sugar,1
Graham Central Station,2
Queens of the Stone Age,150
Sigur Rós,71
New Radicals,1
Deerhunter,45
The Good the bad and the queen,22
The Hi-Fly Orchestra,1
moondog with orchestra,3
Carte Blanche,5
Neil Young & Crazy Horse,22
Bigott,1
And So I Watch You From Afar,38
Carlos Mencia,1
Jim Croce,4
Nirvana,154
So Cow,1
Journey,5
Massive Attack,39
Bikini Kill,18
EarthGang,2
Procol Harum,5
Vyvienne Long,34
Goldfrapp,4
Israel IZ Kamakawiwoole,6
The Wolfe Tones,1
Hypnotic Brass Ensemble,1
Screaming Females,1
No Monster Club,2
Pablo Francisco,1
Ian Dury,2
Interlude,3
Automatic,1
Sleaford Mods,23
Tom Kenny as SpongeBob Squarepants,1
The Muppets,2
Orgone,1
El Michels Affair,7
Florence and The Machine,23
My Faust,1
Link Wray & His Ray Men,2
The Pipettes,1
Boots Electric,1
Billy Bragg,30
Menahan Street Band,17
George Clinton,36
The Crystal Method,1
BBC Radio 4,12
Brad Oscar Nathan Lane & Matthew Broderick,1
The Sultans Of Ping F.C.,8
Jarvis Cocker,24
The Jon Spencer Blues Explosion,16
Maxïmo Park,4
Kiss,1
Esther Phillips,2
Red Hot Chili Peppers,38
A,3
Dillon Francis,1
Maze,2
High Fashion,1
Derrick Harriott,2
Bonnie 'Prince' Billy,11
Mozzy,1
deadmau5,40
Death in Vegas,77
Matthew And The Atlas,1
Marcia Aitken,3
The Joy Formidable,1
Porcupine Tree,1
Barrington Levy,2
King Creosote,20
The Duke Spirit,1
The Amazing Snakeheads,1
Thelonious Monk Quartet,1
Ross Noble,3
Mavis Staples,2
Anderson East,1
Nada Surf,25
Charles Brown,1
Fun Lovin' Criminals,9
Vilhelm Brandt,1
Bon Iver,64
Mary Wells,2
Melody Gardot,1
Wilson Pickett,161
Dan the Automator,4
Disturbed,2
The Decemberists,195
Faces,28
Kings of Leon,71
Karen Dalton,2
Duke Ellington,3
Superchunk,1
Brakes,11
Nat King Cole,1
Queen,41
Junior Senior,1
Kitt Philippa,1
Lee Scratch Perry,30
Surfer Blood,41
Winston McAnuff,1
Yelle,2
fIREHOSE,2
The Red Army Choir,1
Tom Browne,7
Wire,24
Junk Drawer,2
Jello Biafra,19
Loon Lake,1
Dottie & Millie,4
Revolver,2
Gerry Rafferty,2
Roman Mars,19
Health,2
Luis Bacalov & Rocky Roberts,1
Fruit Bats,15
The Head and the Heart,1
Delibes,1
The Sensations,3
Où est le swimming pool,2
Roni Size,1
The Primitives,1
David Lynch,3
Ike & Tina Turner,12
ACDC,1
DJ T,1
Reagan Youth,1
Dead Kennedys,474
Heartless Bastards,3
Booka Shade,2
Marmozets,1
Doctor & The Medics,1
T. M. Soundararajan,1
The Beta Band,105
TV on the Radio,311
This Is the Kit,1
The Soggy Bottom Boys,1
Kevin Drew,15
Booker T. & the MG's,11
Ryeforce,1
Gene Williams,3
500won Project,3
Nas,2
Temple of the Dog,8
Lotus Plaza,1
Queen Latifah,1
Spongebob Squarepants,2
José González,6
Kate Tempest,16
Arnetta Johnson,2
elbow,59
Wyvern Lingo,49
Quincy Jones,9
Aparna Nancherla,6
The Searchers,2
Theme Tune,2
UNKLE,13
Jake Bugg,10
The Chalets,306
Tipitina Foundation,3
Clarence Carter,1
Patsy Cline,1
Donald Glover & Danny Pudi,1
Fat Lady Sings,1
The Bats,2
Palma Violets,2
Amy Winehouse,5
!!!,262
Phoenix,25
The 13th Floor Elevators,2
The Murder Of Crows,32
Edward Sharpe & The Magnetic Zeros,4
Erol Alkan,1
The Boomtown Rats,4
Miles Davis,32
Freddie Hultana,1
Little Green Cars,101
Mint Royale,3
Gary Numan / Tubeway Army,1
Mo Kolours,1
Étienne de Crécy,14
Pete Tong,1
Wilt,6
The Brothers of Soul,3
Ben E. King,3
L7,22
David O'Doherty,22
Less Than Jake,20
Carole King,1
(Sandy) Alex G,1
Rise Against,1
Coleman Hawkins,1
Prefab Sprout,1
Dusty Springfield,7
All,3
James Brown,263
The 5.6.7.8's,1
Frankie Valli & the Four Seasons,2
Grace Jones,4
Wishbone Ash,3
The Lumineers,19
Maxwell,1
Neu!,1
Matty,2
Silver Jews,52
Jónsi,11
The Used,1
The Orwells,1
Sylford Walker,1
Wild Flag,2
Nigel Godrich,9
The Velvelettes,2
MMOTHS,3
Dionne Warwick,4
Divine Fits,1
Mayer Hawthorne,4
Scott Grooves,1
The Brothers,1
Chastity Belt,4
Kíla,20
Aloe Blacc,3
Blur,403
Inner City,1
Suicidal Tendencies,5
INXS,1
John Kongos,1
John Lennon & Jimi Hendrix,2
Destroyer,4
Ted Nugent,3
Sonny Rollins,1
Young Fathers,7
The Wrens,1
The Dismemberment Plan,14
Mocky,1
Me First and the Gimme Gimmes,15
Beck,499
The Seahorses,3
Sublime,82
The Clean,1
Breakestra,2
Bobby Orlando; Felix da Housecat,1
Titus Andronicus,2
Weird Al Yankovic,2
Sinkane,2
Little Boots,25
George Clanton,1
Big Head Todd  & the Monsters,2
Beethoven,1
Archie Bell and The Drells,4
The Electric Peanut Butter Company,1
Christopher Walken,1
The Phenomenal Handclap Band,1
Curtis Mayfield,115
Public Enemy,27
Wax,7
Luscious Jackson,1
Inspiral Carpets,1
The Stooges,227
The Chats,5
Les Claypool,100
Stan Getz,1
Yann Tiersen,1
Four Tops,7
Sting,1
A Lazarus Soul,1
Puscifer,1
Joey Ramone,4
Anti-Flag,1
Rainbow,4
Stars,6
Sparks,3
Alice in Chains,29
Sneaks,1
Blood Red Shoes,4
The Sleepy Jackson,2
The Chieftains,1
Royal Blood,74
Pearl Jam,221
The Attack,1
Royce Da 5'9,1
Discovery,2
Modest Mouse,530
Black Books,1
David Cross,36
Ella Fitzgerald,3
Muse,57
The Mighty Boosh,158
ajj,3
Dry Cleaning,1
Hole,16
Beoga,1
Ocean Colour Scene,8
Howstuffworks.com,1
Queen & David Bowie,2
Mylo,1
Snowden,12
Sampa The Great,2
Louis Cole,1
The Girls,3
The Shirelles,3
Miles Davis and John Coltran,2
Crosby Stills Nash & Young,64
Horsebeach,3
Carl Reiner & Mel Brooks,21
Gonzales,8
Grandaddy,9
The Feelies,2
Metric,171
Chai,1
The Frank & Walters,1
Gwen Stefani,6
Television Personalities,2
And You Will Know Us By The Trail Of Dead,4
Jeff Tweedy,1
Andy Gaffney and Seamie Kennedy,2
Neil Rolnick,1
S-hot,1
Samuel L. Jackson,1
No Use for a Name,1
Germs,1
Craft Spells,1
The Hat,1
Elvis Costello & The Attractions,23
Die Antwoord,14
Rich Kidz,1
Gizelle Smith & the Mighty Mocambos,1
Stone Temple Pilots,1
Buffalo Springfield,20
The Graham Bond Organisation,1
Gang Green,1
St. Paul & The Broken Bones,1
Lewis Black,58
Matt Corby,1
Moloko,1
Leftfield,23
David Bowie,333
Dennis Wilson,1
Wolf Parade,15
Gang of Four,50
Steven Wright,150
Binky Griptite,1
